"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"U.S. Senator","Bob Burr","(Prefers Democratic Party)",11344,0.78,"Federal"
"U.S. Senator","Charles Allen","(Prefers Democratic Party)",11525,0.79,"Federal"
"U.S. Senator","Clint Didier","(Prefers Republican Party)",185034,12.76,"Federal"
"U.S. Senator","Dino Rossi","(Prefers Republican Party)",483305,33.33,"Federal"
"U.S. Senator","Goodspaceguy","(Prefers Democratic Party)",4718,0.33,"Federal"
"U.S. Senator","James (Skip) Mercer","(States No Party Preference)",12122,0.84,"Federal"
"U.S. Senator","Mike Latimer","(Prefers Republican Party)",6545,0.45,"Federal"
"U.S. Senator","Mike The Mover","(Prefers Democratic Party)",6019,0.42,"Federal"
"U.S. Senator","Mohammad H. Said","(Prefers Centrist Party)",3387,0.23,"Federal"
"U.S. Senator","Norma D. Gruber","(Prefers Republican Party)",9162,0.63,"Federal"
"U.S. Senator","Patty Murray","(Prefers Democratic Party)",670284,46.22,"Federal"
"U.S. Senator","Paul Akers","(Prefers Republican Party)",37231,2.57,"Federal"
"U.S. Senator","Schalk Leonard","(States No Party Preference)",2818,0.19,"Federal"
"U.S. Senator","Will Baker","(Prefers Reform Party)",4593,0.32,"Federal"
"U.S. Senator","William Edward Chovil","(Prefers Republican Party)",2039,0.14,"Federal"
"Congressional District 5 - U.S. Representative","Barbara Lampert","(Prefers Democratic Party)",15538,9.15,"Congressional"
"Congressional District 5 - U.S. Representative","Cathy McMorris Rodgers","(Prefers Republican Party)",106191,62.53,"Congressional"
"Congressional District 5 - U.S. Representative","Clyde Cordero","(Prefers Democratic Party)",10787,6.35,"Congressional"
"Congressional District 5 - U.S. Representative","Daryl Romeyn","(Prefers Democratic Party)",21091,12.42,"Congressional"
"Congressional District 5 - U.S. Representative","David R. Fox","(Prefers Democratic Party)",5569,3.28,"Congressional"
"Congressional District 5 - U.S. Representative","Randall Yearout","(Prefers Constitution Party)",10635,6.26,"Congressional"
"Congressional District 3 - U.S. Representative","Cheryl Crist","(Prefers Democratic Party)",18453,11.17,"Congressional"
"Congressional District 3 - U.S. Representative","David B. Castillo","(Prefers Republican Party)",19995,12.1,"Congressional"
"Congressional District 3 - U.S. Representative","David W. Hedrick","(Prefers Republican Party)",22621,13.69,"Congressional"
"Congressional District 3 - U.S. Representative","Denny Heck","(Prefers Democratic Party)",51895,31.4,"Congressional"
"Congressional District 3 - U.S. Representative","Jaime Herrera","(Prefers Republican Party)",46001,27.83,"Congressional"
"Congressional District 3 - U.S. Representative","Norma Jean Stevens","(Prefers Independent Party)",6309,3.82,"Congressional"
